ENABLE,PDCAPREFIX,TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,ENVIRONMENT,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,PARAMETER,COF
1,2050,SOC,SET-BBQ-THERMPID-ON,,"therm pid cc1 pcore enable",5,Dut,sendCommand,0,,"PASS therm pid cc1 pcore enable",PERTOS,xVT,"A -> FA",,,,1
1,2051,SOC,SET-PERF-0xf502255-Pf,,"pmgr mode 0xf502255",10,Dut,sendCommand,0,,"PASS pmgr mode 0xf502255",PERTOS,xVT,"A -> FA",,,,1
1,2052,SOC,TEST-SC6-Pf-0x8F,,"sc run 6 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2053,SOC,TEST-SC7-Pf-0x8F,,"sc run 7 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2054,SOC,TEST-SC13-Pf-0x8F,,"sc run 13 10 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2055,SOC,TEST-SC19-Pf-0x8F,,"sc run 19 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2056,SOC,TEST-SC499-Pf-0x8F,,"sc run 499 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2057,SOC,TEST-SC6-Pf-0x1F,,"sc run 6 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2058,SOC,TEST-SC7-Pf-0x1F,,"sc run 7 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2059,SOC,TEST-SC13-Pf-0x1F,,"sc run 13 10 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2060,SOC,TEST-SC19-Pf-0x1F,,"sc run 19 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2061,SOC,TEST-SC499-Pf-0x1F,,"sc run 499 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2062,SOC,TEST-SC6-Pf-0x4F,,"sc run 6 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2063,SOC,TEST-SC7-Pf-0x4F,,"sc run 7 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2064,SOC,TEST-SC13-Pf-0x4F,,"sc run 13 10 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2065,SOC,TEST-SC19-Pf-0x4F,,"sc run 19 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2066,SOC,TEST-SC499-Pf-0x4F,,"sc run 499 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2067,SOC,TEST-SC6-Pf-0x2F,,"sc run 6 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2068,SOC,TEST-SC7-Pf-0x2F,,"sc run 7 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2069,SOC,TEST-SC13-Pf-0x2F,,"sc run 13 10 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2070,SOC,TEST-SC19-Pf-0x2F,,"sc run 19 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2071,SOC,TEST-SC499-Pf-0x2F,,"sc run 499 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2072,SOC,SET-BBQ-THERMPID-END,,"therm pid cc1 pcore disable",60,Dut,sendCommand,0,,"PASS therm pid cc1 pcore disable",PERTOS,xVT,"A -> FA",,,,1
1,2073,SOC,ECHO-1CORE-SECTION-Pe,,"echo >>>> 1P <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
1,2074,SOC,SET-PERF-0xe502255-Pe,,"pmgr mode 0xe502255",10,Dut,sendCommand,0,,"PASS pmgr mode 0xe502255",PERTOS,xVT,"A -> FA",,,,1
1,2075,SOC,SET-TOOHOT-105-2,,"therm toohot 105 10 105 10 7 1",60,Dut,sendCommand,0,,"PASS therm toohot 105 10 105 10 7 1",PERTOS,xVT,"A -> FA",,,,1
1,2076,SOC,TEST-SC6-Pe-0x8F,,"sc run 6 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2077,SOC,TEST-SC7-Pe-0x8F,,"sc run 7 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2078,SOC,TEST-SC13-Pe-0x8F,,"sc run 13 10 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2079,SOC,TEST-SC19-Pe-0x8F,,"sc run 19 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2080,SOC,TEST-SC499-Pe-0x8F,,"sc run 499 5 -coredown 0x70",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0x70",PERTOS,xVT,"A -> FA",,,,1
1,2081,SOC,TEST-SC6-Pe-0x1F,,"sc run 6 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2082,SOC,TEST-SC7-Pe-0x1F,,"sc run 7 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2083,SOC,TEST-SC13-Pe-0x1F,,"sc run 13 10 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2084,SOC,TEST-SC19-Pe-0x1F,,"sc run 19 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2085,SOC,TEST-SC499-Pe-0x1F,,"sc run 499 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2086,SOC,TEST-SC6-Pe-0x4F,,"sc run 6 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
