group,name,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,limitPassPattern,limitTruePattern,HexValue,Attribute
xVT,PLL_PCIE,Mhz,,,,,,,0,0
xVT,PMP,Mhz,,,,,,,0,0
xVT,S0,Mhz,,,,,,,0,0
xVT,S1,Mhz,,,,,,,0,0
xVT,S2,Mhz,,,,,,,0,0
xVT,S3,Mhz,,,,,,,0,0
xVT,SBR,Mhz,,,,,,,0,0
xVT,SEP,Mhz,,,,,,,0,0
xVT,SIO_AES,Mhz,,,,,,,0,0
xVT,SIO_C,Mhz,,,,,,,0,0
xVT,SIO_P,Mhz,,,,,,,0,0
xVT,SLOW_AF,Mhz,,,,,,,0,0
xVT,SPI0_N,Mhz,,,,,,,0,0
xVT,SPI1_N,Mhz,,,,,,,0,0
xVT,SPI2_N,Mhz,,,,,,,0,0
xVT,SPI3_N,Mhz,,,,,,,0,0
xVT,TEMP_MIPI_DSI,Mhz,,,,,,,0,0
xVT,TMPS,Mhz,,,,,,,0,0
xVT,USB,Mhz,,,,,,,0,0
xVT,USB480_0,Mhz,,,,,,,0,0
xVT,VDEC,Mhz,,,,,,,0,0
xVT,VENC,Mhz,,,,,,,0,0
xVT,VID0_REF,Mhz,,,,,,,0,0
xVT,Dump Boot-Args,,,,,,,wfi=0,0,0
xVT,Soc0,oC,,,,,,,0,0
xVT,Soc1,oC,,,,,,,0,0
xVT,Soc2,oC,,,,,,,0,0
xVT,Soc3,oC,,,,,,,0,0
xVT,MC606,uV,,,,,,,0,0
xVT,MC607,uV,,,,,,,0,0
xVT,MC705,uV,,,,,,,0,0
xVT,MC706,uV,,,,,,,0,0
xVT,AON_AOP_CLK,Mhz,,,,,,,0,0
xVT,AON_AOP_MCA0_M,Mhz,,,,,,,0,0
xVT,AON_AOP_MCA1_M,Mhz,,,,,,,0,0
xVT,AON_LPADC,Mhz,,,,,,,0,0
xVT,AON_PDM_FAST,Mhz,,,,,,,0,0
xVT,AON_PDM_FINAL,Mhz,,,,,,,0,0
xVT,AON_PDM_REF,Mhz,,,,,,,0,0
xVT,AON_PDM_SLOW,Mhz,,,,,,,0,0
xVT,AON_PROXY_FABRIC,Mhz,,,,,,,0,0
xVT,AON_PROXY_MCU_REF,Mhz,,,,,,,0,0
xVT,AON_SENSE_2X,Mhz,,,,,,,0,0
xVT,AON_SPI0_N,Mhz,,,,,,,0,0
xVT,AON_SPMI,Mhz,,,,,,,0,0
xVT,AON_TOUCH_24M,Mhz,,,,,,,0,0
xVT,AON_XI0MUX,Mhz,,,,,,,0,0
xVT,DRAM,Mhz,,,,,,,0,0
