ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,2147,TEST-SC499-P8,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,1
1,2148,SET-PERF-0x9502145-P9,"pmgr mode 0x9502145",10,Dut,sendCommand,0,,"PASS pmgr mode 0x9502145",PERTOS,xVT,AAB,,,1
1,2149,TEST-SC6-P9,"sc run 6 5",100,Dut,sendCommand,0,,"PASS sc run 6 5",PERTOS,xVT,"A -> FA",,,1
1,2150,TEST-SC7-P9,"sc run 7 5",100,Dut,sendCommand,0,,"PASS sc run 7 5",PERTOS,xVT,"A -> FA",,,1
1,2151,TEST-SC13-P9,"sc run 13 10",100,Dut,sendCommand,0,,"PASS sc run 13 10",PERTOS,xVT,"A -> FA",,,1
1,2152,TEST-SC19-P9,"sc run 19 5",100,Dut,sendCommand,0,,"PASS sc run 19 5",PERTOS,xVT,"A -> FA",,,1
1,2153,TEST-SC27-P9,"sc run 27 5",100,Dut,sendCommand,0,,"PASS sc run 27 5",PERTOS,xVT,"A -> FA",,,1
1,2154,TEST-SC172-P9,"sc run 172 5",100,Dut,sendCommand,0,,"PASS sc run 172 5",PERTOS,xVT,"A -> FA",,,1
1,2155,TEST-SC182-P9,"sc run 182 5",100,Dut,sendCommand,0,,"PASS sc run 182 5",PERTOS,xVT,"A -> FA",,,1
1,2156,TEST-SC499-P9,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,1
1,2157,SET-BBQ-P9-0xEF,"bbq config 0xEF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xEF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2158,TEST-SC173-P9-0xEF,"sc run 173 5 -coredown 0x10",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,1
1,2159,TEST-SC184-P9-0xEF,"sc run 184 5 -coredown 0x10",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,1
1,2160,SET-BBQ-P9-0xDF,"bbq config 0xDF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xDF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2161,TEST-SC173-P9-0xDF,"sc run 173 5 -coredown 0x20",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,1
1,2162,TEST-SC184-P9-0xDF,"sc run 184 5 -coredown 0x20",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,1
1,2163,SET-BBQ-P9-0xBF,"bbq config 0xBF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xBF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2164,TEST-SC173-P9-0xBF,"sc run 173 5 -coredown 0x40",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,1
1,2165,TEST-SC184-P9-0xBF,"sc run 184 5 -coredown 0x40",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,1
1,2166,SET-BBQ-P9-0x7F,"bbq config 0x7F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x7F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2167,TEST-SC173-P9-0x7F,"sc run 173 5 -coredown 0x80",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x80",PERTOS,xVT,"A -> FA",,,1
1,2168,TEST-SC184-P9-0x7F,"sc run 184 5 -coredown 0x80",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x80",PERTOS,xVT,"A -> FA",,,1
1,2169,ECHO-4CORE-SECTION-Pa,"echo >>>> 4P, 3P+ANE, 4P+AMX, 2P+AMX+ANE <<<<",5,Rush,echo,0,,PASS,PERTOS,xVT,AAB,,,1
1,2170,SET-PERF-0xa502145-Pa,"pmgr mode 0xa502145",10,Dut,sendCommand,0,,"PASS pmgr mode 0xa502145",PERTOS,xVT,AAB,,,1
1,2171,TEST-SC6-Pa,"sc run 6 5",100,Dut,sendCommand,0,,"PASS sc run 6 5",PERTOS,xVT,"A -> FA",,,1
1,2172,TEST-SC7-Pa,"sc run 7 5",100,Dut,sendCommand,0,,"PASS sc run 7 5",PERTOS,xVT,"A -> FA",,,1
1,2173,TEST-SC13-Pa,"sc run 13 10",100,Dut,sendCommand,0,,"PASS sc run 13 10",PERTOS,xVT,"A -> FA",,,1
1,2174,TEST-SC19-Pa,"sc run 19 5",100,Dut,sendCommand,0,,"PASS sc run 19 5",PERTOS,xVT,"A -> FA",,,1
1,2175,TEST-SC27-Pa,"sc run 27 5",100,Dut,sendCommand,0,,"PASS sc run 27 5",PERTOS,xVT,"A -> FA",,,1
1,2176,TEST-SC499-Pa,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,1
1,2177,SET-BBQ-Pa-0xEF,"bbq config 0xEF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xEF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2178,TEST-SC172-Pa-0xEF,"sc run 172 5 -coredown 0x10",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,1
1,2179,TEST-SC182-Pa-0xEF,"sc run 182 5 -coredown 0x10",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,1
1,2180,SET-BBQ-Pa-0xDF,"bbq config 0xDF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xDF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2181,TEST-SC172-Pa-0xDF,"sc run 172 5 -coredown 0x20",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,1
1,2182,TEST-SC182-Pa-0xDF,"sc run 182 5 -coredown 0x20",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,1
1,2183,SET-BBQ-Pa-0xBF,"bbq config 0xBF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xBF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2184,TEST-SC172-Pa-0xBF,"sc run 172 5 -coredown 0x40",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,1
1,2185,TEST-SC182-Pa-0xBF,"sc run 182 5 -coredown 0x40",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,1
1,2186,SET-BBQ-Pa-0x7F,"bbq config 0x7F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x7F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2187,TEST-SC172-Pa-0x7F,"sc run 172 5 -coredown 0x80",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x80",PERTOS,xVT,"A -> FA",,,1
1,2188,TEST-SC182-Pa-0x7F,"sc run 182 5 -coredown 0x80",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x80",PERTOS,xVT,"A -> FA",,,1
1,2189,SET-BBQ-Pa-0xCF,"bbq config 0xCF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xCF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2190,TEST-SC173-Pa-0xCF,"sc run 173 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,1
1,2191,TEST-SC184-Pa-0xCF,"sc run 184 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,1
1,2192,SET-BBQ-Pa-0x9F,"bbq config 0x9F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x9F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2193,TEST-SC173-Pa-0x9F,"sc run 173 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,1
1,2194,TEST-SC184-Pa-0x9F,"sc run 184 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,1
1,2195,SET-BBQ-Pa-0x6F,"bbq config 0x6F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x6F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2196,TEST-SC173-Pa-0x6F,"sc run 173 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,1
1,2197,TEST-SC184-Pa-0x6F,"sc run 184 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,1
1,2198,SET-BBQ-Pa-0x3F,"bbq config 0x3F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x3F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2199,TEST-SC173-Pa-0x3F,"sc run 173 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,1
1,2200,TEST-SC184-Pa-0x3F,"sc run 184 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,1
1,2201,ECHO-4CORE-SECTION-Pb,"echo >>>> 4P, 3P+ANE, 3P+AMX, 2P+AMX+ANE <<<<",5,Rush,echo,0,,PASS,PERTOS,xVT,AAB,,,1
1,2202,SET-PERF-0xb502145-Pb,"pmgr mode 0xb502145",5,Dut,sendCommand,0,,"PASS pmgr mode 0xb502145",PERTOS,xVT,AAB,,,1
1,2203,TEST-SC6-Pb,"sc run 6 5",100,Dut,sendCommand,0,,"PASS sc run 6 5",PERTOS,xVT,"A -> FA",,,1
1,2204,TEST-SC7-Pb,"sc run 7 5",100,Dut,sendCommand,0,,"PASS sc run 7 5",PERTOS,xVT,"A -> FA",,,1
1,2205,TEST-SC13-Pb,"sc run 13 10",100,Dut,sendCommand,0,,"PASS sc run 13 10",PERTOS,xVT,"A -> FA",,,1
