ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
0,2001,RTOS_Setup_Boot,FIXTURESIGNAL_BOOT_RTOS,60,Rush,restore,0,,SEGPE>,PERTOS,xVT,AAB,,,1
1,2002,print test plan version,echo >>>> TEST_PLAN V0.8.6 - Tonga A0 - 20191207 <<<<,5,Rush,echo,0,,PASS echo >>>> TEST_PLAN V0.8.4 - Tonga A0 - 20191204 <<<<,PERTOS,xVT,AAB,,,1
1,2003,DUMP-PERTOS-INFO,buildinfo,5,Dut,sendCommand,0,,PASS buildinfo,PERTOS,xVT,AAB,,,1
1,2004,DUMP-FUSE-CONFIG,fuse config,5,Dut,sendCommand,0,,PASS fuse config,PERTOS,xVT,AAB,,,1
1,2005,DUMP-FUSE-ECID,fuse ecid,5,Dut,sendCommand,0,,PASS fuse ecid,PERTOS,xVT,AAB,,,1
1,2006,DUMP-FUSE-CONFIG,fuse raw,5,Dut,sendCommand,0,,PASS fuse raw,PERTOS,xVT,AAB,,,1
1,2007,DUM-DDR-INFO-1,ddr print info,5,Dut,sendCommand,0,,PASS ddr print info,PERTOS,xVT,AAB,,,1
1,2008,SET-DDR-FSX,mmu ddr-protect fsx,5,Dut,sendCommand,0,,PASS mmu ddr-protect fsx,PERTOS,xVT,AAB,,,1
1,2009,SET-BIN-VOLTAGE,pmgr vmode bin,5,Dut,sendCommand,0,,PASS pmgr vmode bin,PERTOS,xVT,AAB,,,1
1,2010,SET-DDR1V1-D3,pmgr update-volt -vd 3 1060000,5,Dut,sendCommand,0,,PASS pmgr update-volt -vd 3 1060000,PERTOS,xVT,AAB,,,1
1,2011,SET-DDR1V1-D4,pmgr update-volt -vd 4 1060000,5,Dut,sendCommand,0,,PASS pmgr update-volt -vd 4 1060000,PERTOS,xVT,AAB,,,1
1,2012,SET-DDR1V1-D5,pmgr update-volt -vd 5 1060000,5,Dut,sendCommand,0,,PASS pmgr update-volt -vd 5 1060000,PERTOS,xVT,AAB,,,1
